Numer VIN,Model,Rok produkcji,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Stan techniczny,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Lokalizacja,Województwo,Tytuł,Rodzaj ogłoszenia,Znalezione o,Link,ID,Producent,Opis,Czy cena do negocjacji
,Vectra,2009,Diesel,Kombi,270000,Czarny,1.0,Uszkodzony,Manualna,Niemcy,150.0,Na przednie koła,po lewej,4600.0,Radomsko,Łódzkie,Opel Vectra C 1.9CDTI 2009 uszkodzona uszcz.,Prywatne,2025-04-25 20:01:53.213249,https://www.olx.pl/d/oferta/opel-vectra-c-1-9cdti-2009-uszkodzona-uszcz-CID5-ID14cp7Y.html,978194706,Opel,"Dzień Dobry.

Opel Vectra C ostatni rocznik prod. 2009, 150KM.
W moim posiadaniu 5 lat.
Turbo świeżo po regeneracji
Wtryski świeżo po regeneracji
Prawdopodobnie poszła uszczelka pod głowicą ale diagnozy do końca nie robiłem. Ze zbiorniczka wyciekł plyn chłodniczy.
Tylni zderzak pęknięty. Jak na zdjęciu.
Pozostała część lakieru bdb.
DPF usunięty prawdopodobnie przez poprzedniego właściciela.

4x el.szyby
Półskóry
Przednie fotele podgrzewane
Podgrzewane lusterka boczne
Opony zimowe
Dopinany hak

OC jeszcze ponad 5 miesięcy
PT ważny do 2 lutego

Więcej informacji udzielę telefonicznie.",True
,C5,2005,LPG,Kombi,270436,Czarny,1798.0,Nieuszkodzony,Manualna,,,,,4299.0,Bytom,Śląskie,Citroen c5 1.8 benzyna lpg kombi 2005r,Prywatne,2025-04-25 20:01:58.362639,https://www.olx.pl/d/oferta/citroen-c5-1-8-benzyna-lpg-kombi-2005r-CID5-ID13FDmx.html,970384601,Citroen,"Sprzeda citroena c5 1.8 benzyna lpg kombi.
Auto w bardzo dobrym stanie ostatnio zrobione;
- rozrzad 8 tys km temu
-serwis olejowy 8tys km temu
- hamulce przod 2tys km temu
Auto jeździ na benzynie I na gazie silnik suchy bez wycieków skrzynia oraz sprzęgło działają beż zarzutów.
Auto na oponach wielosezonowych 2 letnich.
Brak oznak korozji progi stan bdb.",True
,Nova,2005,Diesel,Coupe,45659,Czarny,505.0,Nieuszkodzony,Automatyczna,,4.0,Na przednie koła,,6500.0,Słupsk,Pomorskie,"Okazjia LIGIER NOWA 2005 ROK na kategorie AM ,B1 od 14 roku życia",Prywatne,2025-04-25 20:02:02.209431,https://www.olx.pl/d/oferta/okazjia-ligier-nowa-2005-rok-na-kategorie-am-b1-od-14-roku-zycia-CID5-ID15tNwx.html,997116335,Ligier,"Witam sprzedam auto syna na którym zaczynał przygode jako kierowca ,Jest to Czterokołowiec lekki o masie 349kg i mocy 4kw i pojemnosci 505cm3 stan dobry zarejstrowany i opłacony w ciaglej eksploatacji spalanie na granocy 2.5l do 3l ON na 100km silnik Lombardini najlepsza jednostka montowana w zageszczarkach i chlodniach w naczepacz samochodowych dizel posiada radio elektryczne szyby ogrzewanie stan dobry cena do negocjacji Słupsk tel 60*******84",True
VF77JBHZMFJ724127,Berlingo,2015,Diesel,Minivan,281000,Szary,1.0,Nieuszkodzony,Manualna,Polska,120.0,Na przednie koła,po lewej,23500.0,Kuczynka,Wielkopolskie,Sprzedam Citroena Berlingo XTR 2015r,Prywatne,2025-04-25 20:02:04.433909,https://www.olx.pl/d/oferta/sprzedam-citroena-berlingo-xtr-2015r-CID5-ID14dcJQ.html,978385410,Citroen,"Sprzedam Citroen Berlingo z polskiego salonu 1,6 bluehdi. Auto bezwypadkowe, zadbane, sprawne technicznie (bez dodatkowego wkładu finansowego).

Więcej informacji udzielę telefonicznie 60*****39

Krobia wielkopolska",True
,Tucson,2004,Diesel,SUV,235000,Czarny,1996.0,Nieuszkodzony,Manualna,Polska,,4x4 (stały),po lewej,11500.0,Piaseczno,Mazowieckie,Hyundai Tucson 4x4 skóry,Firmowe,2025-04-25 20:02:08.583194,https://www.olx.pl/d/oferta/hyundai-tucson-4x4-skory-CID5-ID14VDlY.html,989212478,Hyundai,"AUTO.OPG - Najlepsze oferty samochodów!

Możliwość dostawy auta pod dom !

Na sprzedaż Hyundai Tucson 4x4

Rok produkcji: 2004
Silnik: 2.0
Paliwo: diesel
Przebieg: 235000 km
Skrzynia biegów: manual
Cena: 11500PLN

Samochód w dobrym stanie, serwisowany na bieżąco. Nowy wtryski i turbina po regeneracji . Idealny do codziennego użytku.Napęd sprawny !

Zadzwoń pod numer telefonu podany niżej.
Adres: Chyliczkowska 13a, Piaseczno, Polska

Dlaczego warto kupować u nas?

Tylko sprawdzone samochody: Każdy samochód przechodzi szczegółową kontrolę przed sprzedażą.
Konkurencyjne ceny: Oferujemy najlepsze ceny na rynku.
Przejrzysta historia: Udostępniamy pełne informacje o stanie technicznym i historii serwisowania.
Indywidualne podejście: Nasi menedżerowie pomogą dobrać samochód odpowiednio do Twoich potrzeb.
Pomoc drogowa: Oferujemy wsparcie w przypadku awarii na drodze.
Możliwość dostawy samochodu pod adres: Zapewniamy wygodną dostawę samochodu pod wskazany adres.

Pytania? Nie znalazłeś potrzebnego punktu - zadzwoń lub napisz wiadomość prywatną.",True
,C4,2007,Diesel,Hatchback,300000,Srebrny,1560.0,Nieuszkodzony,Manualna,,,,po lewej,3500.0,Łódź Widzew,Łódzkie,Citroen C4 oszczedny Nowe OC !!!,Prywatne,2025-04-25 20:02:12.707560,https://www.olx.pl/d/oferta/citroen-c4-oszczedny-nowe-oc-CID5-ID1599ZC.html,992197880,Citroen,"Sprzedam citroena c4 z oszczędnym silnikiem 1.6 HDI.
Spalanie w granicach 6 litrów po mieście !!!
Auto mechanicznie w pełni sprawne .
Wizualnie jak na zdjęciach .
W zawieszeniu nie ma luzów hamulce jak i sprzęgło w dobrej kondycji .
Samochód zawiezie tanio z punkt a do punkt b.
Nowe OC do marca 2026
Przegląd do październik 2024

Zapraszam",False
,C4,2007,Benzyna,Hatchback,1,Czarny,2000.0,Nieuszkodzony,Automatyczna,Niemcy,140.0,Na przednie koła,po lewej,14800.0,Płock,Mazowieckie,NAJBOGATSZA wersja C4 EXCLUSIVE xenon jasne skóry grz.FOT PANORAMA!,Prywatne,2025-04-25 20:02:13.926275,https://www.olx.pl/d/oferta/najbogatsza-wersja-c4-exclusive-xenon-jasne-skory-grz-fot-panorama-CID5-ID14GFCc.html,985407924,Citroen,"Witam ,
Proponuję Państwu niezawodne CIEKAWE autko jakim jest CITROEN C4 w NAJBOGATSZEJ WERSJI wyposażenia EXCLUSIVE z bardzo dobrym ekonomicznym silnikiem 2,0 benzyna .

Mimo 19 lat auto prezentuje się bardzo dobrze a dodając do tego : ładny metaliczny CZARNY lakier , ZADBANĄ jasną SKÓRZANĄ TAPICERKĘ + wyprofilowane FOTELE , PANORAMICZNY PRZESZKLONY DACH, KLIMATYZACJĘ automatyczną 100% sprawną , srebrne wykończenia wnętrza , oryginalne RADIO + pełną elektrykę , ELEKTRYCZNIE REGULOWANE FOTELE z pamięcią, wielofunkcyjną skórzana kierownicę, TEMPOMAT, CZUJNIK PARKOWANIA ,ISOFIX oraz wiele innych udogodnień mamy naprawdę fajny egzemplarz .

Silnik to DOBRA jednostka napędowa 2,0 benzyna na co pozwala na SPRAWNE I BEZAWARYJNE PORUSZANIE SIĘ AUTEM. Pracuje równo i cicho nie ma z nim żadnych problemów a przy tym jest bardzo ekonomiczny bo średnie spalanie waha się w granicach 7l/100km.

Auto posiada seryjne zawieszenie , które jest w stanie bdb, co sprawia że pewnie pokonuje zakręty, i świetnie trzyma się drogi.

Auto jest dobrze wyposażone, środek jest czysty i zadbany!!!

Ponad to
Auto posiada ważne wszystkie opłaty, przegląd ważny i ubezpieczenie OC .
Posiada całą oryginalną dokumentację , 2x klucze . W auto można wsiadać i od razu cieszyć się z eksploatacji bez wkładu.

CENA do negocjacji dla konkretnego klienta. Możliwa zamiana na inne auto lub motocykl

Auto jest zadbane i warte swojej ceny!!! dlatego kolejny właściciel będzie na pewno zadowolony!!!

LOKALIZACJA : Płock woj. mazowieckie (100 km od Warszawy, 100km od Torunia, 100 km od Łodzi )

więcej informacji pod nr tel
zapraszam na jazdę próbną:)
pozdrawiam",True
NLHB351PAGZ175088,i20,2016,Diesel,Hatchback,175000,Czarny,1120.0,Nieuszkodzony,Manualna,,,,,28000.0,Kołobrzeg,Zachodniopomorskie,"Hyundai i20. Klimatyzacja, navi, carplay.",Firmowe,2025-04-25 20:03:27.788366,https://www.olx.pl/d/oferta/hyundai-i20-klimatyzacja-navi-carplay-CID5-ID15s48U.html,996703624,Hyundai,"Auto jest zarejestrowane i gotowe do jazdy. Prowadzi się bardzo dobrze. Fajny i ekonomiczny silnik, uznany jest za bardzo trwałą jednostkę. Bogate wyposażenie uprzyjemnia i ułatwia podróżowanie. Przebieg
udokumentowany. Na autko wystawiam fakturę, Kupujący zwolniony jest z opłaty do US.
Z ważniejszych rzeczy wyposażonia:
Klimatyzacja (sprawna)
Asystent pasa ruchu
Asystent ruszania pod górkę
Tempomat i limitomat
Nawigacja
Car play
Zestaw głośnomówiacy
Skórzana i podgrzewana kierownica
Podgrzewane siedzenia
Start/ stop
Komputer
Elektrycznie sterowane szyby I lusterka
I inne...
Zapraszam na jazdę próbną:)",False
SHHFK1750AU008185,Civic,2011,Benzyna,Hatchback,187838,Czarny,14.0,Nieuszkodzony,Manualna,Niemcy,100.0,Na przednie koła,,14000.0,Rydzyna,Wielkopolskie,"Sprzedam Honda civic 1,4 100 km",Prywatne,2025-04-25 20:03:29.261318,https://www.olx.pl/d/oferta/sprzedam-honda-civic-1-4-100-km-CID5-ID12J5hU.html,956430594,Honda,Sprzedam Honde civic 1.4 100 km benzyna auto zadbane serwisowane serwis co roku wymiany sprowadzone z niemiec jestem drugim włascicielem auta rok produkcji 2011 reszta informacji pod tel.Komplet opon letnich nowych kamera cofania cena do negocjacji.,True
,SX4,2009,Benzyna,Sedan,173000,Niebieski,1600.0,Nieuszkodzony,Manualna,Niemcy,,Na przednie koła,po lewej,14900.0,Łódź Widzew,Łódzkie,"Suzuki SX4 1,6 Benzyna 2009r z Niemiec Zarejestrowany PL Zadbany",Firmowe,2025-04-25 20:03:41.265347,https://www.olx.pl/d/oferta/suzuki-sx4-1-6-benzyna-2009r-z-niemiec-zarejestrowany-pl-zadbany-CID5-ID13cCm4.html,963469216,Suzuki,"SUZUKI SX4 1,6 BENZYNA

ZAREJESTROWANY W POLSCE

AUTO Z WAZNYMI OPŁATAMI OC, BT

w związku z dużą rotacją aut przed przyjazdem konieczny kontakt telefoniczny

I REJESTRACJA 2009
I WŁAŚCICIELI W POLSCE 2023
SERWISOWANY NA BIEŻĄCO

OFERUJĘ POMOC W REJESTRACJI AUTA W WYDZIALE KOMUNIKACJI

GWARANCJA PRZEBIEGU

NA ŻYCZENIE KLIENTA PRZEBIEG WPISUJĘ NA FAKTURZE

rocznik: 2009 modelowo 2010

przebieg:173 000 POTWIERDZONY

kolor: GRANATOWY METALIK

silnik: PRACUJE CICHO,RÓWNO

ROZRZĄD NA ŁAŃCUCHU

zawieszenie :BEZ LUZÓW STUKÓW

Wyposażenie pojazdu:

Elektryczne szyby
Elektryczne lusterka
Klimatyzacja
IsoFix ( łatwy i szybki montaż fotelika dla dziecka)
Centralny zamek
Immobilizer
Esp
Radio CD Fabryczne
Regulowany fotel kierowcy
Elektrocromatyczne Lusterko Wsteczne
Podgrzewane Lusterka Boczne
Poduszki Boczne Tylnie
Tapicerka Welurowa
Regulowana Kolumna Kierownicy
Poduszki powietrzne Kierowcy
Wspomaganie kierownicy
Poduszka Powietrzna Pasażera
Abs
Klimatyzowany schowek pasażera
ASR
Kurtyny Powietrzne Boczne
Poduszki Boczne Przednie

Samochód w bardzo dobrym stanie mechanicznym i blacharskim

W samochodzie nic nie stuka i nie puka, wnętrze zadbane, czyste i pachnące, auto praktycznie bez żadnego wkładu finansowego..

Wystawiam Fakturę Vat--marża

Kupujacy zwolniony z opłaty skarbowej

-ISTNIEJE MOŻLIWOŚĆ ZAKUPU AUTA NA RATY (GETIN BANK)

-PŁATNOŚĆ ZA AUTO PRZYJMUJEMY: GOTÓWKA LUB PRZELEW

-ISTNIEJE MOŻLIWOŚĆ WYKUPIENIA GWARANCJI NA AUTO (3-miesiące lub rok )więcej info udzielę

telefonicznie.

Zakres GWARANCJI GetHelp.pl:

całodobowa obsługa - przez aplikację mobilną iHelp oraz infolinię Help Center,

bezpłatny assistance na terenie całej Polski,

bezgotówkowe naprawy w sieci warsztatów współpracujących,

pokrycie kosztów zakupu części i robocizny,

kompleksowa obsługa przez dedykowanego konsultanta,

szybki proces likwidacji usterki,

dodatkowe zniżki na roczną polisę OC / AC,

szeroki zakres pakietów gwarancji obejmujących:

- silnik

- obudowa silnika

- manualna skrzynia biegów

- układ chłodzenia i hamulcowy

- wał napędowy

- dyferencjał

- turbosprężarka

- koło dwumasowe

Rozszerzenie obejmuje np. układ wtryskowy, klimatyzacji, wydechowy, elektryczny itp",True
,Grand Scenic,2006,Benzyna,Kombi,269090,Inny kolor,,Nieuszkodzony,Manualna,,,,po lewej,2900.0,Kołobrzeg,Zachodniopomorskie,Renault scenic 2 2.0 16v,Prywatne,2025-04-25 20:03:44.079999,https://www.olx.pl/d/oferta/renault-scenic-2-2-0-16v-CID5-ID1513Ee.html,990266866,Renault,"Sprzedam renault scenic 2 2.0 16v. Nie wymaga wkładu. Odpala jeździ bez zająknięcia. Opony wielosezonowe,Stan jak na zdjęciu. 7 osób. Ważny przegląd.i. Sprzedaje ponieważ nie potrzebuję 2 samochodów.",False
SUPMF484DVW001726,Matiz,2000,LPG,Hatchback,125500,Żółty – Złoty,,Nieuszkodzony,Manualna,,,,,2200.0,Warszawa Ursynów,Mazowieckie,Matiz Daewoo 2000,Prywatne,2025-04-25 20:03:46.974578,https://www.olx.pl/d/oferta/matiz-daewoo-2000-CID5-ID15vUl4.html,997857578,Daewoo,"Daewoo Matiz 0,8 Benzyna 2000R.
*
Samochód jest na chodzie jeżdżący, pod względem mechanicznym nie mam do niego większych zastrzeżeń. Silnik ciepły czy zimny pali na dotyk. Zawieszenie sztywne nie powybijane jeździ się nim pewnie oraz komfortowo. Blacharsko prezentuje się tak jak na załączonych zdjęciach. Dobry samochód na dostawę.
Benzyna + LPG
*
Przegląd techniczny: 24.12.2025R.
Ubezpieczenie OC: 05.07.2025R.
*
Tel: 73*****01",True
,Pozostałe,2020,Diesel,Hatchback,28000,Szary,440.0,Nieuszkodzony,Automatyczna,Francja,6.0,Na przednie koła,,39999.0,Malbork,Pomorskie,Ligier js50sport-wspomaganie kierownicy-transport-kamera cofania-Dci !,Firmowe,2025-04-25 20:03:52.664063,https://www.olx.pl/d/oferta/ligier-js50sport-wspomaganie-kierownicy-transport-kamera-cofania-dci-CID5-ID15u9LA.html,997201898,Aixam,"Zarejestrowany w Polsce !!

Zapraszamy do skorzystania z naszej oferty! Od ponad 30 lat działamy w branży motoryzacyjnej, a od 10 lat specjalizujemy się w sprzedaży mikrosamochodów takich marek jak Microcar, Aixam, JDM, Grecav, Chatenet, Ligier.

Co oferujemy?

Skup i sprzedaż mikrosamochodów

Transport gratis na terenie Polski do 300 km (dostawa w 24h)

12-miesięczna gwarancja GetHelp – już od 999 zł

Auto zarejestrowane w kraju, z aktualnym przeglądem i ubezpieczeniem

Pomoc telefoniczna i możliwość prezentacji auta online

Dlaczego warto?
Nasza firma oferuje idealne rozwiązanie dla osób marzących o jeździe samochodem bez prawa jazdy kat. B!
Dzięki kategoriom AM oraz L6e możesz prowadzić auto już od 14. roku życia – na tych samych zasadach co skuter, motorower czy quad.

Informacje o modelu:

Marka: Ligier

Model: JS50 Sport XL (flagowy model)

Rok produkcji: 2020

kategoria:L6e pb

Silnik: Niezawodna jednostka Dci pracuje bardzo ładnie i cicho

Przed przyjazdem prosimy o wcześniejsze potwierdzenie wizyty.
Brak czasu? Dostarczymy auto pod dom! Dodatkowe zdjęcia i informacje wysyłamy na życzenie.

Kontakt:
Sprzedaż samochodów – Rafał
tel. 609
213
561
Części zamienne – Marta
tel. 578
638
373
Transport gratis tylko przy zakupie po cenie ogłoszeniowej – bez negocjacji.",False
,W124,1987,Benzyna,Sedan,123816,Biały,2276.0,Nieuszkodzony,Manualna,,132.0,Na tylne koła,,19000.0,Rakoniewice,Wielkopolskie,Mercedes Benz W124 230E,Firmowe,2025-04-25 20:03:58.535038,https://www.olx.pl/d/oferta/mercedes-benz-w124-230e-CID5-ID15yMeW.html,998303101,Mercedes-Benz,"Witam
Auto utrzymane w dobrej kondycji z oplaconym ubezpieczeniem i przeglądem.W pelni sprawne.Fajna baza na klasyka.Na wszelkie pytania z chęcią odpowiem.Zapraszam do zakupu.",True
,W124,1989,Benzyna,Coupe,258300,Srebrny,2300.0,Nieuszkodzony,Manualna,Niemcy,,Na tylne koła,po lewej,21000.0,Łódź Widzew,Łódzkie,Mercedes Benz w124 Coupe,Prywatne,2025-04-25 20:04:02.367587,https://www.olx.pl/d/oferta/mercedes-benz-w124-coupe-CID5-ID13wYKO.html,968083550,Mercedes-Benz,Sprzedam mój weekendowy samochód. Mercedes 2.3 benzyna 1989 roku z wyjątkowym wnętrzem (rynek zachodni). W moich rękach od ok. 2 lat i przez ten okres pojazd został ponownie polakierowany wraz z konserwacją podwozia. Mercedes świeżo po serwisie olejowym. Więcej informacji udzielę telefonicznie.Cena do rozsądnej negocjacji.,False
,4-Runner,1995,Diesel,Terenowy,252559,Czerwony,2.0,Nieuszkodzony,Automatyczna,Inny,95.0,4x4 (dołączany automatycznie),po lewej,30000.0,Lublin,Lubelskie,Toyota 4 runner HILUX,Prywatne,2025-04-27 13:51:17.518748,https://www.olx.pl/d/oferta/toyota-4-runner-hilux-CID5-ID15vxaL.html,997768527,Toyota,"Na sprzedaż Toyota 4 runner rok 1995 wymieniona uszczelka pod głowicą sprawdzony blok zregenerowane turbo na wszystko posiadam rachunki , rama zdrowa więcej pytań pod numerem telefonu",True
WBAFB31070LG94155,X5,2000,LPG,SUV,340000,Srebrny,4400.0,Nieuszkodzony,Automatyczna,,,,,17900.0,Ustroń,Śląskie,BMW X5. 2000 rok. 4 X 4 napęd. 4400 cm LPG. Ful opcja. Ładna. Zamiana,Firmowe,2025-04-27 13:51:20.566815,https://www.olx.pl/d/oferta/bmw-x5-2000-rok-4-x-4-naped-4400-cm-lpg-ful-opcja-ladna-zamiana-CID5-ID15p8lB.html,996004803,BMW,"Sprzedam :
* BMW X5
* 2000 rok
* 4400 cm LPG
* 285 KM
* Napęd 4 X 4 działa OK
* Automatyczna skrzynia biegów
* Wspomaganie kierownicy
* Klimatyzacja
* Alufelgi
* Elektryczne szyby
* Elektryczne lusterka
* ABS
* ESP
* Centralny zamek na pilota
* Radio CD
* Kierownica wielofunkcyjna
* Skórzana tapicerka
* Elektryka Foteli
* Przyciemniane szyby
* Pali od strzała
* Nie kopci dymi itp
* Ładna sztuka
* Środek czysty zadbany
* Idealna w teren
* Nowy akumulator
* 2 letnie opony
* 1 data rejestracji 17.11.2000 r
* W Polsce od 2012 r
* Przegląd do 21.01.2026 r
* OC aktualne
* LPG do 11.2032 r
* Możliwa zamiana na samochód lub motocykl z dopłatą w obie strony
* Przyjmę samochód lub motocykl w rozliczeniu",True
,126,1979,Benzyna,Sedan,12000,Żółty – Złoty,652.0,Nieuszkodzony,Manualna,Polska,,,,46500.0,Mielec,Podkarpackie,Piękny Polski Fiat 126P Orginał 12 Tys Przebiegu Opony 79 r Jak Nowy,Prywatne,2025-04-27 13:51:21.882060,https://www.olx.pl/d/oferta/piekny-polski-fiat-126p-orginal-12-tys-przebiegu-opony-79-r-jak-nowy-CID5-ID15yaQA.html,998159364,Fiat,Sprzedam Pięknego Polskiego Fiata 126p zachowanego w oryginalnym stanie. Lakier na samochodzie w kolorze żółtym pięknie się błyszczy. Nigdzie nie ma grama rdzy. Silnik pracuje bardzo ładnie dobrze przyśpiesza czuć że ma moc samochód jest sztywny prowadzi się bardzo dobrze jadąc nim czuć że samochód ma naprawdę przejechane tylko 12 tysięcy km. Środek samochodu wygląda prześlicznie siedzenia tapicerka podsufitka zachowane w perfekcyjnym stanie. Maluszek prezentuje się bardzo dobrze jazda nim to czysta przyjemność. Myślę że nowy nabywca będzie bardzo zadowolony ponieważ znaleźć samochód w takim stanie z 1979 r na cytrynkach na oryginalnych oponach z 1979r i w oryginalnym stanie tak utrzymany bez grama rdzy to jest już chyba niemożliwe w dzisiejszych czasach. Więcej informacji chętnie udzielę telefonicznie 60*****80,True
,V40 Cross Country,2014,Diesel,Hatchback,203000,Czarny,,Nieuszkodzony,Manualna,Niemcy,115.0,Na przednie koła,po lewej,37900.0,Giżycko,Warmińsko-mazurskie,"Volvo V40 cross country* 1,6 Diesel*Sprowadzony*Opłacony* Wzorowy Stan",Prywatne,2025-04-27 13:51:23.688774,https://www.olx.pl/d/oferta/volvo-v40-cross-country-1-6-dieselsprowadzonyoplacony-wzorowy-stan-CID5-ID15oDV1.html,995887897,Volvo,"Sprzedam bardzo zadbane Volvo V40 Cross Country 1,6 Diesel 115 KM . Samochód jest w idealnym stanie technicznym i wizualnym wszystko jest sprawne lakier bardzo ładny lśniący i błyszczący oryginalny żaden element powtórnie nie lakierowany. W środku wygląda bardzo ładnie nic nie jest zniszczone , wszystko jak w nowym aucie. Pod spodem żadnych przecieków oleju wszystko jest suche. Zawieszenie samochodu bez żadnych luzów, przebieg samochodu oryginalny potwierdzony książką serwisową i wydrukami TIV. Książka serwisowa prowadzona do samego końca , ostatni wpis 07 2024 .W 2022 wymieniony rozrząd.Silnik pracuje idealnie skrzynia biegów też żadnych szarpnięć. Bardzo bogate wyposażenie, Volvo jest już opłacone i gotowe do rejestracji pozostaje tylko wydział komunikacji. Siedemdziesiąt dziewięć sto pięćdziesiąt sześć dziewięćdziesiąt dwadzieścia dwa.",False
,ML Klasa,2010,Diesel,SUV,291,Czarny,2987.0,Nieuszkodzony,Automatyczna,Polska,231.0,4x4 (dołączany automatycznie),po lewej,46500.0,Kępniewo,Warmińsko-mazurskie,Mercedes-Benz ML350CDI 4MATIC 3.0L AUTOMAT 4×4,Prywatne,2025-04-27 13:51:34.067695,https://www.olx.pl/d/oferta/mercedes-benz-ml350cdi-4matic-3-0l-automat-44-CID5-ID15ulKu.html,997247958,Mercedes-Benz,Witam sprzedam prywatne auto . Wszystko sprawne bez wkładu własnego zadbane tapicerka skórzana jak nowa. Wszystko robione na czas w serwisie. Oryginalny niski przebieg. Ubezpieczenie i przegląd do Lutego 2026r. Bogata wersja wyposażenia Wszystko sprawne! Mogę podać VIN na indywidualne życzenie. Opony Lato zima. Samochód godny polecenia. Więcej informacji pod nr telefonu. Zapraszam na oględziny i jazdę próbną.,True
,CLS Klasa,2011,Diesel,Sedan,151000,Srebrny,2987.0,Nieuszkodzony,Automatyczna,,,Na tylne koła,,55000.0,Górzno,Kujawsko-pomorskie,CLS zadbany Mały przebieg,Firmowe,2025-04-27 13:51:44.725213,https://www.olx.pl/d/oferta/cls-zadbany-maly-przebieg-CID5-ID15uoDz.html,997259061,Mercedes-Benz,"Ekskluzywny Mercedes-Benz CLS 350 (W219) - Połączenie Elegancji i Dynamiki!

Z dumą prezentujemy na sprzedaż wyjątkowy egzemplarz Mercedesa-Benz CLS 350 generacji W219. Ten luksusowy czterodrzwiowy coupé łączy w sobie ponadczasową elegancję, sportowy charakter i komfort jazdy na najwyższym poziomie.

Wygląd:

Ten konkretny egzemplarz zachwyca swoim stylowym, srebrnym lakierem, który podkreśla unikalną linię nadwozia CLS. Dynamiczna sylwetka, charakterystyczna linia dachu i chromowane detale przyciągają wzrok i świadczą o prestiżu marki Mercedes-Benz. Alufelgi o atrakcyjnym wzorze dodają mu sportowego akcentu.

Wnętrze:

Wnętrze pojazdu to oaza komfortu i luksusu. Wysokiej jakości materiały wykończeniowe, precyzyjne detale i ergonomicznie zaprojektowana deska rozdzielcza tworzą przyjemną atmosferę podróży. Przestronna kabina oferuje wygodne miejsca dla czterech pasażerów, a pojemny bagażnik zapewnia praktyczność na co dzień i podczas dłuższych wyjazdów.

Technologia i Bezpieczeństwo:

Mercedes-Benz CLS 350 wyposażony jest w szereg zaawansowanych rozwiązań technologicznych, które podnoszą komfort i bezpieczeństwo jazdy. Można tu znaleźć między innymi:

System nawigacji
Automatyczną klimatyzację
Skórzaną tapicerkę
Elektrycznie regulowane fotele z pamięcią ustawień
Czujniki parkowania
Zaawansowane systemy bezpieczeństwa (ABS, ESP, liczne poduszki powietrzne)
Silnik i osiągi:

Pod maską tego CLS pracuje niezawodny i dynamiczny silnik wysokoprężny o pojemności 3.0 litra, generujący 275km. Zapewnia on płynną jazdę, doskonałe przyspieszenie i rozsądne zużycie paliwa. Automatyczna skrzynia biegów gwarantuje komfortową zmianę przełożeń.

Stan pojazdu:

Prezentowany egzemplarz jest w bardzo dobrym stanie technicznym i wizualnym, regularnie serwisowany, przebiegiem, 151000 tys

Dlaczego warto wybrać ten model?

Mercedes-Benz CLS to idealne połączenie elegancji limuzyny i sportowego charakteru coupé. Oferuje wysoki komfort jazdy, prestiżowy wygląd i zaawansowane technologie. Ten konkretny egzemplarz, zadbany i dobrze wyposażony, może być Twoim idealnym towarzyszem zarówno na co dzień, jak i podczas wyjątkowych okazji.

Możliwość zamiany na Ciągnik siodłowy Scania
Zapraszam do kontaktu",True
